"listasitiosnombre","listasitioscolombiaurl"
" E l  T i e m p o ","http://www.eltiempo.com"
" L a  R e p ú b l i c a ","http://www.la-republica.com"
" L a  R e p ú b l i c a ","http://www.la-republica.com.co/"
" E u r e k a ! ","http://bogota.eureka.com.co/"
" B o g o t a  D a i l y ","http://www.bogotadaily.com/"
" D i a r i o  D e p o r t i v o ","http://www.diariodeportivo.com/"
" E l  E s p e c t a d o r ","http://www.elespectador.com/"
" P o r t a f o l i o ","http://www.portafolio.com.co/"
" D e p o r t e  y  N e g o c i o s ","http://www.deporteynegocios.com/"
" P r e n s a  V e r d e ","http://www.prensaverde.com.co/"
" E l  M a l p e n s a n t e ","http://www.orquidea.com/elmalpensante/"
" E l  V a l l e n a t o ","http://www.romanceros.com/"
" L a  C r ó n i c a ","http://www.lacronica.com.co/"
" L a  C r ó n i c a  d e l  Q u i n d í o ","http://www.eccel.com/~cronica/"
" L a  L i b e r t a d ","http://www.lalibertad.com.co/hoy/index.html"
" L a  L i b e r t a d ","http://www.lalibertad.com.co/"
" E l  H e r a l d o ","http://www.elheraldo.com.co/"
" V a n g u a r d i a  L i b e r a l ","http://www.vanguardia.com"
" E l  P a í s ","http://www.elpais-cali.com"
" V i c e  V e r s a ","http://www.telesat.com.co/viceversa"
" D i a r i o  O c c i d e n t e ","http://mafalda.univalle.edu.co/~occident/"
" E l  U n i v e r s a l ","http://www.eluniversal.com.co/"
" V a n g u a r d i a  L i b e r a l ","http://www.vanguardia.com/"
" L a  O p i n i ó n ","http://www.laopinion.com.co/"
" E l  E n v i g a d e ñ o ","http://www.elenvigadeno.com.co/"
" L a  N a c i ó n ","http://www.lanacion.com.co/"
" E l  N u e v o  D í a ","http://www.elnuevodia.com.co/"
" L a  P a t r i a ","http://www.lapatria.com/"
" E l  M u n d o ","http://www.elmundo.com/"
" E l  C o l o m b i a n o ","http://www.elcolombiano.com/"
" D i a r i o  d e l  H u i l a ","http://diariodelhuila.com/hoy/"
" D i a r i o  d e l  H u i l a ","http://diariodelhuila.com/"
" D i a r i o  d e l  H u i l a ","http://www.diariohuila.com.co/"
" L a  N a c i ó n ","http://www.lanacion.com.co/"
" E l  D i a r i o  d e l  O t ú n ","http://www.eldiario.com.co/hoy/index.html"
" D i a r i o  d e l  O t ú n ","http://www.eldiario.com.co/"
" L a  T a r d e ","http://www.latarde.com.co/"
" E l  L i b e r a l ","http://www.elliberal.com.co/"
" E l  N u e v o  D í a ","http://www.elnuevodia.com.co/"
" E l  T a b l o i d e ","http://tulua.teletulua.com.co/eltabloide/"
" D i a r i o  d e  V a l l e d u p a r ","http://www.valledupar.net/"
" V a l l e d u p a r  H o y ","http://www.valledupar.net/"
" N o t i c i a s  Y a ","http://www.noticiasya.com.co/"
" E l  P e r i o d i c o  d e  Z a l a m e a ","http://www.elperiodicodezalamea.top.ms/"
" T h e  C o l o m b i a n  P o s t ","http://www.colombianpost.com/"
" A c t u a l i d a d  C o l o m b i a n a ","http://www.actcol.f2s.com/"
" A c t u a l i d a d  C o l o m b i a n a ","http://www.kolumbien-aktuell.ch/ka-index.htm"
" A c t u a l i d a d  C o l o m b i a n a ","http://www.actcol.f2s.com/english/"
" C a m b i o ","http://www.revistacambio.com/"
" S e m a n a ","http://www.semana.com/"
" S e m a n a ","http://www.semana.com.co/"
" C r o m o s ","http://www.mediosvirtuales.com/cromos/"
" C r o m o s ","http://www.cromos.com.co/"
" D i n e r o ","http://www.dinero.com"
" D i n e r o ","http://www.dinero.com.co/"
" L a  N o t a  E c o n ó m i c a ","http://www.lanota.com/"
" G a t o p a r d o ","http://www.gatopardo.com/"
" L a  H o j a  d e  M e d e l l í n ","http://www.lahoja.com.co/"
" P r e n s a  V e r d e ","http://www.prensaverde.com.co/"
" R e v i s t a  D i n e r s ","http://www.revistadiners.com.co/"
" E l  T a b l o i d e ","http://tulua.teletulua.com.co/eltabloide/"
" T i e m p o s  d e l  M u n d o ","http://www.tdm.com/colombia/"
" M A X ","http://www.maxoutdoor.com/"
" L a s  S o c i a l e s ","http://www.lassociales.com/"
" S o h o ","http://www.soho.com.co/"
" A x x i s ","http://www.revistaaxxis.com.co/"
" R e v i s t a  d e  M o t o s ","http://www.demotos.com.co/"
" S h o c k ","https://www.shock.com.co/"
" S h o c k ","http://www.shock.com.co"
" S e r  F a m i l i a ","http://www.serfamilia.com/"
" R e v i s t a  M o d a  e n  L í n e a ","http://www.revistaml.com/"
" E n t r e e x t r e m o s ","http://www.users.interport.net/~mg/"
" L a  R e d ","http://www.lared.com.co/"
" P o r t a f o l i o ","http://www.portafolio.com.co"
" P o r t a f o l i o ","http://www.portafolio.com.co/hoy/"
" M a r k e t  C o l o m b i a ","http://www.marketcolombia.com"
" P  &  M ","http://www.revistapym.com.co/"
" A p u n t e  E m p r e s a r i a l ","http://www.apunteempresarial.com/"
" C o l S p o r t s ","http://www.colsports.com/"
" N u e v o  E s t a d i o ","http://www.nuevoestadio.com/"
" D i a r i o  D e p o r t i v o ","http://www.diariodeportivo.com/"
" E n  L a  J u g a d a ","http://www.elpais-cali.com/Especiales/FUTBOL/"
" A c t u a l i d a d  C o l o m b i a n a ","http://www.actcol.f2s.com/"
" R e v i s t a  M o t o r ","http://www.motor.com.co/"
" G r a n  M a r t e s ","http://www.granmartes.com/"
" C o m p u t e r  W o r l d ","http://www.computerworld.com.co/"
" P C  W o r l d ","http://www.pc-world.com.co/"
" I n t e r n e t  A l  D í a ","http://www.internetaldia.com/"
" C i b e r  W o r l d  D e s i g n ","http://www.cwd9.com"
" A v i a c i ó n ","http://aviacion.com/"
" C o l g a d o ","http://207.126.98.198/"
" C o l o m b i a  R e p o r t ","http://www.colombiareport.org/"
" D e s c i f r a d o ","http://www.descifrado.com/"
" D e s H o r a ","http://www.revistadeshora.com.co/"
" E d i t o r i a l  T e l e v i s a  C o l o m b i a ","http://www.editelevisa.com/"
" E n  R o d a j e ","http://members.tripod.com/~LUZARDO_2/index.htm"
" E n t e r  ","http://www.enter.com.co/"
" E p í g r a f e ","http://www.epigrafe.com/"
" E l  G r a f i t o ","http://www.elgrafito.com/"
" L a u t o p i s t a ","http://www.lautopista.com/"
" E l  M u n d o  a l  I n s t a n t e ","http://www.elmundoalinstante.com/"
" M u l t i r e v i s t a s  E d i t o r e s  S . A . ","http://www.multirevistas.com.co/"
" N u e v o  E s t a d i o ","http://www.nuevoestadio.com/"
" P a s o  B e a t ","http://www.pasobeat.com/"
" P l a n e t a  M a c o n d o ","http://www.planetamacondo.com/"
" R e v i s t a  A X X I S ","http://www.revistaaxxis.com.co/"
" R e v i s t a  C o n t a c t o ","http://www.revistacontacto.net/"
" R e v i s t a  I n m u e b l e s ","http://www.revistainmuebles.com/"
" R e v i s t a  N ú m e r o ","http://www.revistanumero.com/"
" R e v i s t a  P r o m e t e o ","http://www.epm.net.co/VIIfestivalpoesia/html/revista.html"
" R e v i s t a  T e m a s ","http://hemeroteca.icfes.gov.co/revistas/temas/"
" S a l u d  C o l o m b i a ","http://www.saludcolombia.com/"
" S e g u r i d a d  S o c i a l  a l  D í a ","http://www.seguridadsocial.com.co/"
" S o n o t o n e ","http://www.sonotone.com/"
" S p o r t s  C o l o m b i a ","http://www.sportscolombia.com/"
" T e n d e n c i a s ","http://www.revistafacea.freeservers.com/"
" T o r o s  y  T o r e r o s ","http://www.torosytoreros.com/"
